type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2024-03-02 05:46:35,11.11383167,123.79402833,1.40,61.200,,0.000,,50,66,,P11
W,2024-03-02 05:50:49,11.11485500,123.78623667,1.60,60.900,,0.000,,52,66,,P10
W,2024-03-02 06:00:00,11.11510500,123.77787667,2.10,61.800,,0.000,,49,66,,P9
W,2024-03-02 06:07:03,11.11602500,123.76833000,2.20,61.200,,0.000,,47,67,,P8
W,2024-03-02 06:21:15,11.11586833,123.74994167,1.50,62.900,,0.000,,47,70,,P6
W,2024-03-02 06:27:34,11.11609000,123.74070500,1.40,64.000,,0.000,,47,70,,P5
W,2024-03-02 06:33:16,11.11595500,123.73178000,1.50,63.600,,0.000,,47,72,,P4
W,2024-03-02 06:38:49,11.11530833,123.72271833,1.70,64.700,,0.000,,46,71,,P3
W,2024-03-02 06:47:20,11.11531833,123.71249833,2.00,63.100,,0.000,,53,71,,P2
W,2024-03-02 06:56:59,11.11722500,123.70808333,2.10,63.900,,0.000,,51,73,,P1
T,2024-03-02 04:15:31,11.16431833,123.71547000,1.60,61.400,,1.308,232,53,68,20240302-121531,GPS Logger: 20240302-121531 - Bantayan 2 Sampling
T,2024-03-02 04:15:32,11.16431000,123.71545833,1.60,61.200,,1.408,235,53,68,,
T,2024-03-02 04:15:33,11.16430500,123.71544667,1.60,60.900,,1.313,234,54,68,,
T,2024-03-02 04:15:34,11.16429833,123.71543667,1.50,61.000,,1.405,233,54,68,,
T,2024-03-02 04:15:35,11.16429167,123.71542833,1.50,61.200,,1.402,235,54,68,,
T,2024-03-02 04:15:36,11.16428333,123.71541833,1.50,61.400,,1.527,235,54,68,,
T,2024-03-02 04:15:37,11.16427667,123.71540667,1.50,61.600,,1.404,233,54,68,,
T,2024-03-02 04:15:38,11.16426833,123.71539500,1.50,61.600,,1.429,235,54,68,,
T,2024-03-02 04:15:39,11.16426167,123.71538500,1.50,61.400,,1.395,234,54,68,,
T,2024-03-02 04:15:40,11.16425500,123.71537500,1.50,61.400,,1.408,235,54,68,,
T,2024-03-02 04:15:41,11.16424833,123.71536667,1.50,61.500,,1.427,235,56,68,,
T,2024-03-02 04:15:42,11.16424000,123.71535667,1.50,61.400,,1.429,235,54,68,,
T,2024-03-02 04:15:43,11.16423000,123.71534333,1.50,61.400,,1.433,236,53,68,,
T,2024-03-02 04:15:44,11.16422167,123.71533167,1.50,61.300,,1.429,235,52,68,,
T,2024-03-02 04:15:45,11.16421333,123.71532000,1.50,61.500,,1.425,235,52,68,,
T,2024-03-02 04:15:46,11.16420333,123.71530833,1.60,60.900,,1.424,234,53,68,,
T,2024-03-02 04:15:47,11.16419333,123.71529833,1.50,60.500,,1.426,232,52,68,,
T,2024-03-02 04:15:48,11.16418333,123.71528833,1.60,60.200,,1.432,237,51,68,,
T,2024-03-02 04:15:49,11.16417667,123.71527667,1.50,60.300,,1.430,231,50,68,,
T,2024-03-02 04:15:50,11.16417000,123.71526833,1.50,60.300,,1.428,234,48,68,,
T,2024-03-02 04:15:51,11.16416333,123.71525833,1.50,60.600,,1.432,229,51,68,,
T,2024-03-02 04:15:52,11.16415500,123.71524833,1.50,60.700,,1.427,232,53,68,,
T,2024-03-02 04:15:53,11.16414667,123.71523833,1.50,60.800,,1.431,230,54,68,,
T,2024-03-02 04:15:54,11.16413833,123.71522833,1.50,60.700,,1.422,235,53,68,,
T,2024-03-02 04:15:55,11.16412833,123.71521833,1.50,60.500,,1.418,231,54,68,,
T,2024-03-02 04:15:56,11.16412000,123.71520500,1.50,60.300,,1.448,235,54,68,,
T,2024-03-02 04:15:57,11.16411500,123.71519500,1.50,60.000,,1.429,235,54,68,,
T,2024-03-02 04:15:58,11.16410500,123.71518333,1.60,59.800,,1.437,229,55,68,,
T,2024-03-02 04:15:59,11.16409667,123.71517167,1.60,59.900,,1.434,224,54,68,,
T,2024-03-02 04:16:00,11.16408833,123.71516833,1.60,60.200,,1.431,229,55,68,,
T,2024-03-02 04:16:01,11.16408000,123.71516000,1.50,60.400,,1.439,223,55,68,,
T,2024-03-02 04:16:02,11.16407167,123.71515000,1.60,60.100,,1.458,228,55,68,,
T,2024-03-02 04:16:03,11.16406000,123.71514000,1.60,59.800,,1.487,225,53,68,,
T,2024-03-02 04:16:04,11.16405000,123.71513000,1.60,59.300,,1.509,225,54,68,,
T,2024-03-02 04:16:05,11.16404167,123.71512333,1.60,58.600,,1.499,211,54,68,,
T,2024-03-02 04:16:06,11.16403333,123.71511333,1.60,57.900,,1.465,224,53,68,,
T,2024-03-02 04:16:07,11.16402500,123.71510000,1.60,58.000,,1.482,226,53,68,,
T,2024-03-02 04:16:08,11.16401667,123.71509000,1.60,58.200,,1.466,224,53,68,,
T,2024-03-02 04:16:09,11.16400667,123.71508000,1.60,58.100,,1.474,229,53,68,,
T,2024-03-02 04:16:10,11.16400000,123.71507000,1.60,57.900,,1.482,222,53,68,,
T,2024-03-02 04:16:11,11.16399167,123.71506167,1.60,57.700,,1.481,224,52,68,,
T,2024-03-02 04:16:12,11.16398167,123.71505333,1.60,57.400,,1.472,220,51,68,,
T,2024-03-02 04:16:13,11.16397000,123.71504500,1.60,57.300,,1.453,219,52,68,,
T,2024-03-02 04:16:14,11.16395833,123.71503667,1.60,57.300,,1.467,224,52,68,,
T,2024-03-02 04:16:15,11.16394500,123.71502500,1.60,57.400,,1.534,223,53,68,,
T,2024-03-02 04:16:16,11.16393167,123.71501167,1.60,57.300,,1.608,223,53,68,,
T,2024-03-02 04:16:17,11.16391667,123.71499833,1.60,57.100,,1.698,227,53,68,,
T,2024-03-02 04:16:18,11.16390167,123.71498333,1.60,57.300,,1.805,228,52,68,,
T,2024-03-02 04:16:19,11.16388667,123.71496667,1.60,57.300,,1.921,228,52,68,,
T,2024-03-02 04:16:20,11.16387167,123.71494833,1.60,57.500,,2.053,228,52,68,,
T,2024-03-02 04:16:21,11.16385500,123.71492833,1.70,57.500,,2.189,230,51,68,,
T,2024-03-02 04:16:22,11.16383667,123.71491000,1.70,57.800,,2.331,228,52,68,,
T,2024-03-02 04:16:23,11.16381667,123.71489000,1.70,57.900,,2.469,229,52,68,,
T,2024-03-02 04:16:24,11.16379833,123.71487000,1.70,57.800,,2.591,228,51,68,,
T,2024-03-02 04:16:25,11.16378000,123.71484667,1.70,57.600,,2.701,229,52,68,,
T,2024-03-02 04:16:26,11.16376333,123.71482333,1.70,57.600,,2.802,232,52,68,,
T,2024-03-02 04:16:27,11.16374500,123.71480333,1.70,57.600,,2.870,229,52,68,,
T,2024-03-02 04:16:28,11.16372667,123.71478333,1.70,57.800,,2.921,232,52,68,,
T,2024-03-02 04:16:29,11.16371500,123.71476000,1.70,57.800,,2.946,231,52,68,,
T,2024-03-02 04:16:30,11.16370333,123.71474000,1.70,57.500,,2.939,231,52,68,,
T,2024-03-02 04:16:31,11.16368833,123.71472000,1.70,57.400,,2.910,229,52,68,,
T,2024-03-02 04:16:32,11.16367333,123.71470167,1.70,57.300,,2.874,230,52,68,,
T,2024-03-02 04:16:33,11.16366167,123.71468333,1.60,57.600,,2.829,227,52,68,,
T,2024-03-02 04:16:34,11.16364833,123.71466833,1.70,58.000,,2.772,228,52,68,,
T,2024-03-02 04:16:35,11.16363667,123.71465167,1.70,58.800,,2.701,227,51,68,,
T,2024-03-02 04:16:36,11.16362167,123.71463833,1.70,59.500,,2.641,228,51,68,,
T,2024-03-02 04:16:37,11.16360333,123.71462333,1.70,60.100,,2.590,229,51,68,,
T,2024-03-02 04:16:38,11.16358667,123.71460667,1.70,60.700,,2.537,231,51,68,,
T,2024-03-02 04:16:39,11.16357000,123.71458667,1.70,60.900,,2.507,228,51,68,,
T,2024-03-02 04:16:40,11.16355333,123.71456833,1.70,60.900,,2.495,229,51,68,,
T,2024-03-02 04:16:41,11.16353833,123.71455167,1.70,60.900,,2.499,232,51,68,,
T,2024-03-02 04:16:42,11.16352500,123.71453333,1.70,60.800,,2.513,233,51,68,,
T,2024-03-02 04:16:43,11.16351167,123.71451333,1.70,60.600,,2.530,233,52,68,,
T,2024-03-02 04:16:44,11.16349833,123.71449333,1.70,60.300,,2.564,235,51,68,,
T,2024-03-02 04:16:45,11.16348500,123.71447000,1.70,60.000,,2.611,235,52,68,,
T,2024-03-02 04:16:46,11.16347333,123.71444833,1.70,59.600,,2.645,235,52,68,,
T,2024-03-02 04:16:47,11.16345833,123.71442667,1.70,59.300,,2.685,236,52,68,,
T,2024-03-02 04:16:48,11.16344500,123.71440333,1.70,59.000,,2.719,238,53,68,,
T,2024-03-02 04:16:49,11.16343167,123.71438333,1.70,59.000,,2.746,235,52,68,,
T,2024-03-02 04:16:50,11.16341833,123.71436333,1.70,58.900,,2.774,236,53,68,,
T,2024-03-02 04:16:51,11.16340500,123.71434167,1.70,59.100,,2.793,237,53,68,,
T,2024-03-02 04:16:52,11.16339167,123.71432000,1.70,59.100,,2.809,238,53,68,,
T,2024-03-02 04:16:53,11.16337667,123.71430000,1.70,59.300,,2.816,237,53,68,,
T,2024-03-02 04:16:54,11.16336167,123.71428000,1.70,59.300,,2.822,238,52,68,,
T,2024-03-02 04:16:55,11.16334833,123.71425833,1.70,59.400,,2.823,237,53,68,,
T,2024-03-02 04:16:56,11.16333500,123.71423667,1.70,59.500,,2.829,238,53,68,,
T,2024-03-02 04:16:57,11.16332000,123.71421667,1.70,59.500,,2.822,235,53,68,,
T,2024-03-02 04:16:58,11.16330500,123.71419500,1.70,59.600,,2.823,234,53,68,,
T,2024-03-02 04:16:59,11.16329000,123.71417333,1.70,59.600,,2.827,237,53,68,,
T,2024-03-02 04:17:00,11.16327833,123.71415000,1.70,59.600,,2.823,235,53,68,,
T,2024-03-02 04:17:01,11.16326333,123.71412667,1.70,59.700,,2.831,237,53,68,,
T,2024-03-02 04:17:02,11.16325000,123.71410500,1.70,59.700,,2.836,238,53,68,,
T,2024-03-02 04:17:03,11.16323500,123.71408333,1.70,59.500,,2.850,237,53,68,,
T,2024-03-02 04:17:04,11.16322167,123.71406333,1.70,59.400,,2.847,234,53,68,,
T,2024-03-02 04:17:05,11.16320333,123.71404167,1.70,59.300,,2.842,234,53,68,,
T,2024-03-02 04:17:06,11.16319000,123.71402000,1.70,59.600,,2.834,235,53,68,,
T,2024-03-02 04:17:07,11.16317500,123.71399833,1.70,60.000,,2.826,235,53,68,,
T,2024-03-02 04:17:08,11.16316167,123.71397667,1.70,60.400,,2.825,237,52,68,,
T,2024-03-02 04:17:09,11.16314667,123.71395667,1.70,60.600,,2.826,237,52,68,,
T,2024-03-02 04:17:10,11.16313333,123.71393667,1.70,60.600,,2.825,236,53,68,,
T,2024-03-02 04:17:11,11.16311667,123.71391833,1.70,60.600,,2.817,236,53,68,,
T,2024-03-02 04:17:12,11.16309833,123.71389833,1.70,60.900,,2.817,235,53,68,,
T,2024-03-02 04:17:13,11.16308167,123.71387667,1.70,60.900,,2.808,236,53,68,,
T,2024-03-02 04:17:14,11.16307000,123.71385500,1.70,60.500,,2.810,236,53,68,,
T,2024-03-02 04:17:15,11.16305833,123.71383167,1.70,60.100,,2.804,238,52,68,,
T,2024-03-02 04:17:16,11.16304333,123.71381000,1.70,60.000,,2.802,236,52,68,,
T,2024-03-02 04:17:17,11.16303167,123.71378833,1.70,60.200,,2.809,236,53,68,,
T,2024-03-02 04:17:18,11.16301667,123.71377000,1.70,60.600,,2.801,237,53,68,,
T,2024-03-02 04:17:19,11.16300500,123.71375000,1.70,60.900,,2.795,238,52,68,,
T,2024-03-02 04:17:20,11.16299167,123.71372667,1.70,60.800,,2.801,237,51,68,,
T,2024-03-02 04:17:21,11.16297833,123.71370667,1.70,60.700,,2.810,237,53,68,,
T,2024-03-02 04:17:22,11.16296833,123.71368167,1.70,60.300,,2.803,240,53,68,,
T,2024-03-02 04:17:23,11.16295667,123.71365833,1.70,60.000,,2.803,239,53,68,,
T,2024-03-02 04:17:24,11.16294333,123.71363500,1.70,59.800,,2.800,239,53,68,,
T,2024-03-02 04:17:25,11.16293000,123.71361333,1.70,59.600,,2.808,238,53,68,,
T,2024-03-02 04:17:26,11.16291833,123.71359000,1.70,59.400,,2.802,239,52,68,,
T,2024-03-02 04:17:27,11.16290667,123.71356833,1.70,59.100,,2.796,238,52,68,,
T,2024-03-02 04:17:28,11.16289333,123.71354667,1.70,58.900,,2.798,239,52,68,,
T,2024-03-02 04:17:29,11.16288000,123.71352667,1.70,58.900,,2.796,238,52,68,,
T,2024-03-02 04:17:30,11.16286500,123.71350500,1.70,58.800,,2.795,239,52,68,,
T,2024-03-02 04:17:31,11.16285167,123.71348667,1.70,58.800,,2.791,238,52,68,,
T,2024-03-02 04:17:32,11.16283667,123.71346500,1.70,58.800,,2.792,237,52,68,,
T,2024-03-02 04:17:33,11.16282333,123.71344333,1.70,59.000,,2.794,237,53,68,,
T,2024-03-02 04:17:34,11.16280833,123.71341833,1.70,59.100,,2.808,247,53,68,,
T,2024-03-02 04:17:35,11.16279667,123.71339333,1.80,58.600,,2.837,241,53,68,,
T,2024-03-02 04:17:36,11.16278000,123.71337500,1.80,58.100,,2.844,228,53,68,,
T,2024-03-02 04:17:37,11.16276333,123.71335833,2.00,58.100,,2.798,226,51,68,,
T,2024-03-02 04:17:38,11.16275000,123.71334167,2.10,58.200,,2.751,225,47,68,,
T,2024-03-02 04:17:39,11.16273667,123.71332500,2.20,58.500,,2.708,232,45,68,,
T,2024-03-02 04:17:40,11.16272500,123.71329833,2.10,59.300,,2.713,240,44,68,,
T,2024-03-02 04:17:41,11.16271000,123.71327000,2.00,59.900,,2.698,235,44,68,,
T,2024-03-02 04:17:42,11.16269500,123.71324500,2.00,59.700,,2.710,239,44,68,,
T,2024-03-02 04:17:43,11.16268500,123.71321667,2.00,59.500,,2.706,237,46,68,,
T,2024-03-02 04:17:44,11.16267167,123.71319500,1.80,59.500,,2.686,238,46,68,,
T,2024-03-02 04:17:45,11.16266000,123.71316833,1.70,59.400,,2.682,236,49,68,,
T,2024-03-02 04:17:46,11.16264167,123.71314500,1.80,59.200,,2.691,236,47,68,,
T,2024-03-02 04:17:47,11.16262833,123.71312167,1.90,59.200,,2.734,239,48,68,,
T,2024-03-02 04:17:48,11.16261167,123.71310167,1.80,59.200,,2.795,238,50,68,,
T,2024-03-02 04:17:49,11.16259667,123.71308000,1.80,59.300,,2.840,238,50,68,,
T,2024-03-02 04:17:50,11.16258333,123.71305667,1.80,59.400,,2.839,238,48,68,,
T,2024-03-02 04:17:51,11.16257000,123.71303667,1.70,59.300,,2.859,238,48,68,,
T,2024-03-02 04:17:52,11.16255667,123.71301667,1.70,59.000,,2.843,239,48,68,,
T,2024-03-02 04:17:53,11.16254167,123.71299667,1.70,58.900,,2.856,236,48,68,,
T,2024-03-02 04:17:54,11.16252667,123.71297500,1.70,59.000,,2.888,238,47,68,,
T,2024-03-02 04:17:55,11.16251000,123.71295500,1.80,59.000,,2.884,239,47,68,,
T,2024-03-02 04:17:56,11.16249667,123.71293167,2.00,58.900,,2.874,239,47,68,,
T,2024-03-02 04:17:57,11.16248333,123.71291000,2.10,58.900,,2.888,238,47,68,,
T,2024-03-02 04:17:58,11.16246667,123.71289000,1.80,58.900,,2.891,238,47,68,,
T,2024-03-02 04:17:59,11.16245333,123.71286833,1.70,58.700,,2.906,237,46,68,,
T,2024-03-02 04:18:00,11.16244000,123.71284500,1.70,58.800,,2.898,237,47,68,,
T,2024-03-02 04:18:01,11.16242500,123.71282333,1.70,59.000,,2.894,236,47,68,,
T,2024-03-02 04:18:02,11.16241167,123.71279833,1.70,59.000,,2.919,237,46,68,,
T,2024-03-02 04:18:03,11.16239333,123.71277333,1.70,59.000,,2.934,238,47,68,,
T,2024-03-02 04:18:04,11.16238000,123.71275000,1.90,58.900,,2.907,236,47,68,,
T,2024-03-02 04:18:05,11.16236667,123.71272833,2.00,58.900,,2.883,236,48,68,,
T,2024-03-02 04:18:06,11.16235333,123.71270667,1.80,59.200,,2.891,237,49,68,,
T,2024-03-02 04:18:07,11.16234000,123.71268833,1.70,59.400,,2.898,235,49,68,,
T,2024-03-02 04:18:08,11.16232833,123.71266667,1.70,59.800,,2.903,237,49,68,,
T,2024-03-02 04:18:09,11.16231500,123.71264667,1.80,60.200,,2.900,238,49,68,,
T,2024-03-02 04:18:10,11.16230333,123.71262667,1.80,60.700,,2.916,239,48,68,,
T,2024-03-02 04:18:11,11.16229167,123.71260167,1.80,61.000,,2.962,238,48,68,,
T,2024-03-02 04:18:12,11.16228000,123.71257500,1.80,60.400,,2.956,243,49,68,,
T,2024-03-02 04:18:13,11.16226833,123.71255167,2.00,60.200,,2.944,243,49,68,,
T,2024-03-02 04:18:14,11.16225500,123.71252500,1.90,59.400,,2.962,244,50,68,,
T,2024-03-02 04:18:15,11.16224333,123.71250000,1.90,59.100,,2.967,246,49,68,,
T,2024-03-02 04:18:16,11.16223167,123.71247500,1.80,58.800,,2.960,246,49,68,,
T,2024-03-02 04:18:17,11.16222000,123.71245333,1.90,58.900,,2.943,248,50,68,,
T,2024-03-02 04:18:18,11.16221000,123.71243000,1.90,58.800,,2.921,249,50,68,,
T,2024-03-02 04:18:19,11.16220000,123.71240833,1.80,58.600,,2.911,250,50,68,,
T,2024-03-02 04:18:20,11.16219167,123.71238500,1.90,58.100,,2.894,253,50,68,,
T,2024-03-02 04:18:21,11.16218500,123.71236000,1.80,58.100,,2.847,253,50,68,,
T,2024-03-02 04:18:22,11.16217667,123.71233333,1.90,58.200,,2.828,252,51,68,,
T,2024-03-02 04:18:23,11.16216833,123.71231000,1.90,58.000,,2.824,253,50,68,,
T,2024-03-02 04:18:24,11.16215833,123.71228500,1.90,58.000,,2.795,255,49,68,,
T,2024-03-02 04:18:25,11.16215167,123.71226000,1.90,58.200,,2.821,256,50,68,,
T,2024-03-02 04:18:26,11.16214833,123.71223167,1.90,58.300,,2.825,257,50,68,,
T,2024-03-02 04:18:27,11.16214333,123.71220667,2.00,58.200,,2.838,258,49,68,,
T,2024-03-02 04:18:28,11.16214000,123.71217667,1.90,58.200,,2.851,259,49,68,,
T,2024-03-02 04:18:29,11.16213500,123.71215167,1.90,58.100,,2.861,257,49,68,,
T,2024-03-02 04:18:30,11.16213000,123.71212667,1.80,58.000,,2.868,254,47,68,,
T,2024-03-02 04:18:31,11.16212500,123.71210167,2.00,58.000,,2.848,255,48,68,,
T,2024-03-02 04:18:32,11.16212000,123.71207833,2.00,58.000,,2.843,257,46,68,,
T,2024-03-02 04:18:33,11.16211500,123.71205167,1.70,57.900,,2.829,255,49,68,,
T,2024-03-02 04:18:34,11.16211000,123.71202833,1.60,58.100,,2.842,255,52,68,,
T,2024-03-02 04:18:35,11.16210500,123.71200333,1.60,58.200,,2.814,257,52,68,,
T,2024-03-02 04:18:36,11.16210000,123.71197833,1.60,58.100,,2.806,256,52,68,,
T,2024-03-02 04:18:37,11.16209833,123.71195333,1.60,58.300,,2.795,254,52,68,,
T,2024-03-02 04:18:38,11.16209167,123.71193167,1.50,58.400,,2.784,253,53,68,,
T,2024-03-02 04:18:39,11.16208333,123.71190667,1.50,58.800,,2.775,254,52,68,,
T,2024-03-02 04:18:40,11.16207667,123.71188167,1.50,58.900,,2.777,256,53,68,,
T,2024-03-02 04:18:41,11.16207167,123.71185667,1.60,59.200,,2.802,254,53,68,,
T,2024-03-02 04:18:42,11.16206667,123.71183333,1.50,59.300,,2.810,254,53,68,,
T,2024-03-02 04:18:43,11.16205833,123.71180833,1.50,59.100,,2.813,254,53,68,,
T,2024-03-02 04:18:44,11.16205167,123.71178333,1.50,58.800,,2.812,254,53,68,,
T,2024-03-02 04:18:45,11.16204500,123.71175667,1.50,58.700,,2.816,253,53,68,,
T,2024-03-02 04:18:46,11.16203667,123.71173333,1.50,58.700,,2.818,253,53,68,,
T,2024-03-02 04:18:47,11.16203167,123.71170833,1.50,58.800,,2.812,254,53,68,,
T,2024-03-02 04:18:48,11.16202333,123.71168500,1.50,58.800,,2.803,253,53,68,,
T,2024-03-02 04:18:49,11.16201667,123.71166000,1.50,58.700,,2.799,257,53,68,,
T,2024-03-02 04:18:50,11.16200833,123.71163500,1.50,58.800,,2.790,255,53,68,,
T,2024-03-02 04:18:51,11.16200333,123.71161167,1.50,58.800,,2.778,258,54,68,,
T,2024-03-02 04:18:52,11.16199833,123.71158667,1.50,58.800,,2.771,259,53,68,,
T,2024-03-02 04:18:53,11.16199333,123.71156167,1.50,58.600,,2.774,257,53,68,,
T,2024-03-02 04:18:54,11.16198833,123.71153667,1.50,58.500,,2.775,259,53,68,,
T,2024-03-02 04:18:55,11.16198333,123.71151333,1.50,58.000,,2.776,259,52,68,,
T,2024-03-02 04:18:56,11.16197833,123.71148833,1.50,57.800,,2.767,259,53,68,,
T,2024-03-02 04:18:57,11.16197667,123.71146167,1.50,57.800,,2.810,254,53,68,,
T,2024-03-02 04:18:58,11.16197000,123.71143667,1.70,57.600,,2.821,256,53,68,,
T,2024-03-02 04:18:59,11.16196500,123.71141333,2.00,57.500,,2.789,258,37,68,,
T,2024-03-02 04:19:00,11.16196167,123.71139000,2.10,57.600,,2.751,259,39,68,,
T,2024-03-02 04:19:01,11.16195500,123.71136167,2.10,58.300,,2.774,257,42,68,,
T,2024-03-02 04:19:02,11.16195167,123.71133500,2.10,58.400,,2.801,258,42,68,,
T,2024-03-02 04:19:03,11.16194500,123.71130833,2.00,58.900,,2.778,259,43,68,,
T,2024-03-02 04:19:04,11.16193833,123.71128333,2.00,59.400,,2.783,258,44,68,,
T,2024-03-02 04:19:05,11.16192833,123.71125667,2.00,59.700,,2.781,256,45,68,,
T,2024-03-02 04:19:06,11.16192000,123.71122667,2.00,59.600,,2.821,257,45,68,,
T,2024-03-02 04:19:07,11.16191333,123.71119667,2.00,59.300,,2.827,259,45,68,,
T,2024-03-02 04:19:08,11.16190833,123.71116833,2.20,59.300,,2.848,258,45,68,,
T,2024-03-02 04:19:09,11.16190000,123.71114000,2.30,58.800,,2.910,257,44,68,,
T,2024-03-02 04:19:10,11.16189667,123.71111167,2.10,58.400,,2.967,254,43,68,,
T,2024-03-02 04:19:11,11.16189000,123.71108500,2.20,58.100,,2.969,254,43,68,,
T,2024-03-02 04:19:12,11.16188500,123.71105833,2.10,58.000,,2.940,254,44,68,,
T,2024-03-02 04:19:13,11.16187833,123.71103500,2.20,58.000,,2.945,254,44,68,,
T,2024-03-02 04:19:14,11.16187333,123.71101333,2.10,57.800,,2.953,253,44,68,,
T,2024-03-02 04:19:15,11.16186500,123.71098833,2.10,57.800,,2.951,251,43,68,,
T,2024-03-02 04:19:16,11.16185667,123.71096500,2.10,57.600,,2.908,254,43,68,,
T,2024-03-02 04:19:17,11.16185167,123.71094000,2.10,57.600,,2.856,255,38,68,,
T,2024-03-02 04:19:18,11.16184333,123.71091500,2.10,57.600,,2.854,252,39,68,,
T,2024-03-02 04:19:19,11.16183667,123.71088833,2.00,57.700,,2.821,256,36,68,,
T,2024-03-02 04:19:20,11.16182500,123.71086167,2.00,57.900,,2.825,255,36,68,,
T,2024-03-02 04:19:21,11.16181667,123.71083333,2.00,57.500,,2.860,254,37,68,,
T,2024-03-02 04:19:22,11.16181000,123.71080500,2.20,57.400,,2.907,256,40,68,,
T,2024-03-02 04:19:23,11.16180500,123.71077667,2.30,57.100,,2.955,255,40,68,,
T,2024-03-02 04:19:24,11.16179833,123.71075000,2.40,56.900,,2.945,255,43,68,,
T,2024-03-02 04:19:25,11.16179167,123.71072500,2.40,56.800,,2.943,254,44,68,,
T,2024-03-02 04:19:26,11.16178167,123.71069667,2.10,57.500,,2.935,257,44,68,,
T,2024-03-02 04:19:27,11.16177333,123.71067500,2.00,58.000,,2.976,251,45,68,,
T,2024-03-02 04:19:28,11.16176667,123.71065167,2.00,58.700,,2.981,250,46,68,,
T,2024-03-02 04:19:29,11.16175833,123.71062667,2.00,58.900,,3.002,252,45,68,,
T,2024-03-02 04:19:30,11.16175000,123.71060167,2.20,59.200,,2.997,250,45,68,,
T,2024-03-02 04:19:31,11.16173833,123.71058333,2.10,59.200,,2.905,249,45,68,,
T,2024-03-02 04:19:32,11.16173333,123.71057000,1.80,58.400,,2.839,250,47,68,,
T,2024-03-02 04:19:33,11.16173000,123.71055000,1.70,58.300,,2.766,253,49,68,,
T,2024-03-02 04:19:34,11.16172333,123.71053000,1.70,58.200,,2.734,253,49,68,,
T,2024-03-02 04:19:35,11.16172167,123.71050833,1.70,58.200,,2.691,254,51,68,,
T,2024-03-02 04:19:36,11.16171667,123.71048833,1.60,58.100,,2.669,254,51,68,,
T,2024-03-02 04:19:37,11.16171167,123.71046833,1.70,58.400,,2.592,257,50,68,,
T,2024-03-02 04:19:38,11.16170833,123.71044500,1.70,58.800,,2.533,259,51,68,,
T,2024-03-02 04:19:39,11.16170500,123.71042333,1.70,59.000,,2.456,259,51,68,,
T,2024-03-02 04:19:40,11.16170333,123.71040167,1.70,59.000,,2.383,259,51,68,,
T,2024-03-02 04:19:41,11.16169833,123.71038167,1.70,59.000,,2.348,258,52,68,,
T,2024-03-02 04:19:42,11.16169500,123.71036333,1.60,59.300,,2.311,255,52,68,,
T,2024-03-02 04:19:43,11.16168833,123.71034333,1.60,59.400,,2.302,256,52,68,,
T,2024-03-02 04:19:44,11.16168333,123.71032667,1.70,59.500,,2.260,255,52,68,,
T,2024-03-02 04:19:45,11.16167833,123.71031000,1.60,59.500,,2.249,255,53,68,,
T,2024-03-02 04:19:46,11.16167167,123.71029167,1.70,59.800,,2.214,253,52,68,,
T,2024-03-02 04:19:47,11.16166667,123.71027500,1.60,60.200,,2.196,255,51,68,,
T,2024-03-02 04:19:48,11.16166167,123.71025500,1.60,60.500,,2.175,256,52,68,,
T,2024-03-02 04:19:49,11.16165833,123.71023333,1.60,60.600,,2.176,256,52,68,,
T,2024-03-02 04:19:50,11.16165500,123.71021333,1.70,60.800,,2.190,256,52,68,,
T,2024-03-02 04:19:51,11.16165167,123.71019167,1.70,60.700,,2.213,255,52,68,,
T,2024-03-02 04:19:52,11.16164667,123.71017167,1.70,60.400,,2.229,254,52,68,,
T,2024-03-02 04:19:53,11.16164167,123.71015167,1.70,60.400,,2.213,254,52,67,,
T,2024-03-02 04:19:54,11.16163667,123.71013167,1.70,60.400,,2.248,255,52,67,,
T,2024-03-02 04:19:55,11.16163167,123.71010833,1.70,60.100,,2.254,255,51,67,,
T,2024-03-02 04:19:56,11.16162667,123.71008833,1.70,60.100,,2.293,257,51,67,,
T,2024-03-02 04:19:57,11.16162167,123.71006500,1.70,60.000,,2.330,255,51,67,,
T,2024-03-02 04:19:58,11.16161500,123.71004500,1.60,59.800,,2.350,255,51,67,,
T,2024-03-02 04:19:59,11.16161000,123.71002167,1.60,59.400,,2.373,255,51,67,,
T,2024-03-02 04:20:00,11.16160333,123.71000000,1.70,59.200,,2.394,256,51,67,,
T,2024-03-02 04:20:01,11.16159833,123.70997667,1.70,59.100,,2.410,256,50,67,,
T,2024-03-02 04:20:02,11.16159333,123.70995667,1.70,58.900,,2.443,256,50,67,,
T,2024-03-02 04:20:03,11.16158500,123.70993333,1.70,58.700,,2.478,255,51,67,,
T,2024-03-02 04:20:04,11.16157667,123.70991167,1.70,58.700,,2.506,257,51,67,,
T,2024-03-02 04:20:05,11.16157000,123.70988667,1.70,58.700,,2.535,256,51,67,,
T,2024-03-02 04:20:06,11.16156333,123.70986333,1.70,58.700,,2.567,258,51,67,,
T,2024-03-02 04:20:07,11.16155500,123.70983667,1.70,58.900,,2.593,258,51,67,,
T,2024-03-02 04:20:08,11.16154833,123.70981167,1.70,58.900,,2.640,259,51,67,,
T,2024-03-02 04:20:09,11.16154167,123.70978500,1.70,59.300,,2.695,258,51,67,,
